epoch,class_output_accuracy,class_output_loss,loss,lr,superclass_output_accuracy,superclass_output_loss,val_class_output_accuracy,val_class_output_loss,val_loss,val_superclass_output_accuracy,val_superclass_output_loss
11,0.7680001854896545,0.7426836490631104,1.688053846359253,0.001,0.6734604835510254,0.9453706741333008,0.8393256068229675,0.5044286847114563,1.2599297761917114,0.7479507923126221,0.7555009722709656
12,0.779292643070221,0.7052233815193176,1.6339659690856934,0.001,0.6825265884399414,0.9287418723106384,0.7542846202850342,0.8723527193069458,1.846961498260498,0.6983047723770142,0.9746083617210388
13,0.7857192158699036,0.6839045286178589,1.5937225818634033,0.001,0.6860153079032898,0.9098184108734131,0.8201378583908081,0.626518726348877,1.42191743850708,0.744225025177002,0.7953993082046509
14,0.786729097366333,0.6796660423278809,1.5906493663787842,0.001,0.6890449523925781,0.9109825491905212,0.8735097050666809,0.3986367881298065,1.0802913904190063,0.7734724283218384,0.6816547513008118
15,0.7975165843963623,0.649872899055481,1.5363132953643799,0.001,0.6975142955780029,0.8864408135414124,0.8218144774436951,0.5737073421478271,1.3991228342056274,0.7329545617103577,0.8254156112670898
16,0.7986871600151062,0.6404556035995483,1.5229368209838867,0.001,0.6967568397521973,0.8824809789657593,0.8245156407356262,0.6017269492149353,1.4188653230667114,0.7428278923034668,0.8171387910842896
17,0.8047006130218506,0.6301197409629822,1.5044593811035156,0.001,0.6999701857566833,0.8743404150009155,0.86661696434021,0.4302642047405243,1.1907280683517456,0.751583456993103,0.7604638338088989
18,0.8103927373886108,0.6093600988388062,1.4738304615020752,0.001,0.7047442197799683,0.8644692301750183,0.8831035494804382,0.3743433356285095,1.1022179126739502,0.756147563457489,0.7278742790222168
19,0.8160389065742493,0.586628258228302,1.4385106563568115,0.001,0.7059836387634277,0.8518821001052856,0.8554396629333496,0.462630033493042,1.1478501558303833,0.7730998396873474,0.6852196455001831
20,0.8431224226951599,0.49593496322631836,1.2945705652236938,0.00020000001,0.7213156223297119,0.7986359596252441,0.8780737519264221,0.39548662304878235,1.1449123620986938,0.7543777823448181,0.7494263052940369
21,0.8496407866477966,0.47750094532966614,1.261393427848816,0.00020000001,0.7283848524093628,0.7838917970657349,0.8673621416091919,0.4398006796836853,1.1492000818252563,0.7670454382896423,0.7093990445137024
22,0.853083610534668,0.46317440271377563,1.2389696836471558,0.00020000001,0.7311161756515503,0.7757957577705383,0.8845007419586182,0.384844034910202,1.0875957012176514,0.7672317624092102,0.7027514576911926
23,0.8530377149581909,0.461538702249527,1.2373530864715576,0.00020000001,0.7295783758163452,0.7758150100708008,0.8806818127632141,0.39281579852104187,1.0688612461090088,0.7780365347862244,0.6760454773902893
24,0.8559985160827637,0.45265623927116394,1.21565580368042,0.00020000001,0.7349950671195984,0.7629998326301575,0.8809612393379211,0.3997049927711487,1.1162431240081787,0.7669523358345032,0.7165381908416748
25,0.8560444116592407,0.4488913118839264,1.2200146913528442,0.00020000001,0.7329293489456177,0.7711244225502014,0.8916728496551514,0.351446270942688,1.024840235710144,0.7784090638160706,0.6733930706977844
26,0.8567330241203308,0.4489573538303375,1.2143760919570923,0.00020000001,0.7333425283432007,0.7654191255569458,0.8882265090942383,0.3584139049053192,1.0594303607940674,0.7711437940597534,0.7010162472724915
27,0.8597167730331421,0.44154733419418335,1.2012838125228882,0.00020000001,0.7375198006629944,0.7597382068634033,0.8853390216827393,0.37139973044395447,1.0274261236190796,0.7805514335632324,0.6560264825820923
28,0.8587986826896667,0.4368784427642822,1.1914633512496948,0.00020000001,0.7341917157173157,0.754584789276123,0.8606557250022888,0.4644092619419098,1.193934440612793,0.7676974534988403,0.7295244336128235
29,0.8629759550094604,0.4328632354736328,1.1869293451309204,0.00020000001,0.7364640235900879,0.7540664672851562,0.8822652697563171,0.3867378830909729,1.1092774868011475,0.7655551433563232,0.722539484500885
